# kf2 rate census
# range 801C0000:801D8000
# samples 3092
# seconds 51.556
# sampleHz 59.97
# addr changes
801C0000 1
801C0004 1
801C0008 1
801C000C 1
801C0010 1
801C0014 1
801C0018 1
801C001C 1
801C0020 1
801C0024 1
801C0028 1
801C002C 1
801C0030 1
801C0034 1
801C0038 1
801C003C 1
801C0040 1
801C0044 1
801C0048 1
801C004C 1
801C0050 1
801C0054 1
801C0058 1
801C005C 1
801C0060 1
801C0064 1
801C0068 1
801C006C 1
801C0070 1
801C0074 1
801C0078 1
801C007C 1
801C0080 1
801C0084 1
801C0088 1
801C008C 1
801C0090 1
801C0094 1
801C0098 1
801C009C 1
801C00A0 1
801C00A4 1
801C00A8 1
801C00AC 1
801C00B0 1
801C00B4 1
801C00B8 1
801C00BC 1
801C00C0 1
801C00C4 1
801C00C8 1
801C00CC 1
801C00D0 1
801C00D4 1
801C00D8 1
801C00DC 1
801C00E0 1
801C00E4 1
801C00E8 1
801C00EC 1
801C00F0 1
801C00F4 1
801C00F8 1
801C00FC 1
801C0100 1
801C0104 1
801C0108 1
801C010C 1
801C0110 1
801C0114 1
801C0118 1
801C011C 1
801C0120 1
801C0124 1
801C0128 1
801C012C 1
801C0130 1
801C0134 1
801C0138 1
801C013C 1
801C0140 1
801C0144 1
801C0148 1
801C014C 1
801C0150 1
801C0154 1
801C0158 1
801C015C 1
801C0160 1
801C0164 1
801C0168 1
801C016C 1
801C0170 1
801C0174 1
801C0178 1
801C017C 1
801C0180 1
801C0184 1
801C0188 1
801C018C 1
801C0190 1
801C0194 1
801C0198 1
801C019C 1
801C01A0 1
801C01A4 1
801C01A8 1
801C01AC 1
801C01B0 1
801C01B4 1
801C01B8 1
801C01BC 1
801C01C0 1
801C01C4 1
801C01C8 1
801C01CC 1
801C01D0 1
801C01D4 1
801C01D8 1
801C01DC 1
801C01E0 1
801C01E4 1
801C01E8 1
801C01EC 1
801C01F0 1
801C01F4 1
801C01F8 1
801C01FC 1
801C0200 1
801C0204 1
801C0208 1
801C020C 1
801C0210 1
801C0214 1
801C0218 1
801C021C 1
801C0220 1
801C0224 1
801C0228 1
801C022C 1
801C0230 1
801C0234 1
801C0238 1
801C023C 1
801C0240 1
801C0244 1
801C0248 1
801C024C 1
801C0250 1
801C0254 1
801C0258 1
801C025C 1
801C0260 1
801C0264 1
801C0268 1
801C026C 1
801C0270 1
801C0274 1
801C0278 1
801C027C 1
801C0280 1
801C0284 1
801C0288 1
801C028C 1
801C0290 1
801C0294 1
801C0298 1
801C029C 1
801C02A0 1
801C02A4 1
801C02A8 1
801C02AC 1
801C02B0 1
801C02B4 1
801C02B8 1
801C02BC 1
801C02C0 1
801C02C4 1
801C02C8 1
801C02CC 1
801C02D0 1
801C02D4 1
801C02D8 1
801C02DC 1
801C02E0 1
801C02E4 1
801C02E8 1
801C02EC 1
801C02F0 1
801C02F4 1
801C02F8 1
801C02FC 1
801C0300 1
801C0304 1
801C0308 1
801C030C 1
801C0310 1
801C0314 1
801C0318 1
801C031C 1
801C0320 1
801C0324 1
801C0328 1
801C032C 1
801C0330 1
801C0334 1
801C0338 1
801C033C 1
801C0340 1
801C0344 1
801C0348 1
801C034C 1
801C0350 1
801C0354 1
801C0358 1
801C035C 1
801C0360 1
801C0364 1
801C0368 1
801C036C 1
801C0370 1
801C0374 1
801C0378 1
801C037C 1
801C0380 1
801C0384 1
801C0388 1
801C038C 1
801C0390 1
801C0394 1
801C0398 1
801C039C 1
801C03A0 1
801C03A4 1
801C03A8 1
801C03AC 1
801C03B0 1
801C03B4 1
801C03B8 1
801C03BC 1
801C03C0 1
801C03C4 1
801C03C8 1
801C03CC 1
801C03D0 1
801C03D4 1
801C03D8 1
801C03DC 1
801C03E0 1
801C03E4 1
801C03E8 1
801C03EC 1
801C03F0 1
801C03F4 1
801C03F8 1
801C03FC 1
801C0400 1
801C0404 1
801C0408 1
801C040C 1
801C0410 1
801C0414 1
801C0418 1
801C041C 1
801C0420 1
801C0424 1
801C0428 1
801C042C 1
801C0430 1
801C0434 1
801C0438 1
801C043C 1
801C0440 1
801C0444 1
801C0448 1
801C044C 1
801C0450 1
801C0454 1
801C0458 1
801C045C 1
801C0460 1
801C0464 1
801C0468 1
801C046C 1
801C0470 1
801C0474 1
801C0478 1
801C047C 1
801C0480 1
801C0484 1
801C0488 1
801C048C 1
801C0490 1
801C0494 1
801C0498 1
801C049C 1
801C04A0 1
801C04A4 1
801C04A8 1
801C04AC 1
801C04B0 1
801C04B4 1
801C04B8 1
801C04BC 1
801C04C0 1
801C04C4 1
801C04C8 1
801C04CC 1
801C04D0 1
801C04D4 1
801C04D8 1
801C04DC 1
801C04E0 1
801C04E4 1
801C04E8 1
801C04EC 1
801C04F0 1
801C04F4 1
801C04F8 1
801C04FC 1
801C0500 1
801C0504 1
801C0508 1
801C050C 1
801C0510 1
801C0514 1
801C0518 1
801C051C 1
801C0520 1
801C0524 1
801C0528 1
801C052C 1
801C0530 1
801C0534 1
801C0538 1
801C053C 1
801C0540 1
801C0544 1
801C0548 1
801C054C 1
801C0550 1
801C0554 1
801C0558 1
801C055C 1
801C0560 1
801C0564 1
801C0568 1
801C056C 1
801C0570 1
801C0574 1
801C0578 1
801C057C 1
801C0580 1
801C0584 1
801C0588 1
801C058C 1
801C0590 1
801C0594 1
801C0598 1
801C059C 1
801C05A0 1
801C05A4 1
801C05A8 1
801C05AC 1
801C05B0 1
801C05B4 1
801C05B8 1
801C05BC 1
801C05C0 1
801C05C4 1
801C05C8 1
801C05CC 1
801C05D0 1
801C05D4 1
801C05D8 1
801C05DC 1
801C05E0 1
801C05E4 1
801C05E8 1
801C05EC 1
801C05F0 1
801C05F4 1
801C05F8 1
801C05FC 1
801C0600 1
801C0604 1
801C0608 1
801C060C 1
801C0610 1
801C0614 1
801C0618 1
801C061C 1
801C0620 1
801C0624 1
801C0628 1
801C062C 1
801C0630 1
801C0634 1
801C0638 1
801C063C 1
801C0640 1
801C0644 1
801C0648 1
801C064C 1
801C0650 1
801C0654 1
801C0658 1
801C065C 1
801C0660 1
801C0664 1
801C0668 1
801C066C 1
801C0670 1
801C0674 1
801C0678 1
801C067C 1
801C0680 1
801C0684 1
801C0688 1
801C068C 1
801C0690 1
801C0694 1
801C0698 1
801C069C 1
801C06A0 1
801C06A4 1
801C06A8 1
801C06AC 1
801C06B0 1
801C06B4 1
801C06B8 1
801C06BC 1
801C06C0 1
801C06C4 1
801C06C8 1
801C06CC 1
801C06D0 1
801C06D4 1
801C06D8 1
801C06DC 1
801C06E0 1
801C06E4 1
801C06E8 1
801C06EC 1
801C06F0 1
801C06F4 1
801C06F8 1
801C06FC 1
801C0700 1
801C0704 1
801C0708 1
801C070C 1
801C0710 1
801C0714 1
